"","Target","Dataset","Sample_ID","Hive","Date","Bee_type","Scab","gut_mg","Extractor","Cq","SD","actin_Cq","actin_CopyNum","CopyNum","CellNum","Present","CopyNum_norm","CellNum_norm"
"1","Ba","mm","1","DdM","150411","F","0","NA","PLO",29.7062333333333,"7.6764596874688396E-2",20.6798,9914532.50376662,31998.350971485,15999.1754857425,1,31194,15597
"2","Ba","mm","596","DdM","170420","F","1","NA","M",27.3672,"9.0368246635641206E-2",19.7328666666667,18170489.1924026,171721.896454522,85860.9482272611,1,91342,45671
"3","Ba","mm","506","DdM","161216","W","0","NA","M",15.5682333333333,"1.99138979944487E-2",20.6731666666667,9956695.72069935,823565421.528142,411782710.764071,1,799455269,399727635
"4","Ba","mm","233","DdM","160113","W","0","NA","M",15.1969666666667,"5.2419207675559E-2",20.8269,9024065.15079788,1075277491.05264,537638745.52632,1,1151674188,575837094
"5","Ba","mm","371","DdM","160715","F","1","NA","P",26.1129666666667,"0.112793454301804",22.76695,2608446.68337456,422769.264276137,211384.632138069,1,1566508,783254
"6","Ba","mm","550","DdM","170215","W","0","NA","M",15.9578,"4.7658997051974003E-2",20.66045,10038028.2282991,622539168.797396,311269584.398698,1,599417709,299708854
"7","Ba","mm","145","DdM","150915","F","1","NA","PLO",21.4804333333333,"3.2007238764587803E-2",20.3907152811686,11928643.440767,11784054.0732337,5892027.03661685,1,9548056,4774028
"8","Ba","mm","282","DdM","160314","W","0","NA","M",18.6646,"0.17182886835453301",20.9718333333333,8224967.42090255,89071349.4453951,44535674.7226975,1,104668294,52334147
"9","Ba","mm","10","DdM","150411","F","0","NA","PLO",34.75315,"2.72236110756814E-2",20.7699333333333,9359006.43354566,0,0,0,0,0
"10","Ba","mm","507","DdM","170117","W","1","NA","M",15.08375,"3.88908729652574E-3",21.7449,5015874.1622041,1166380544.5714,583190272.285702,1,2247527089,1123763545
"11","Ba","mm","326","DdM","160517","F","0","NA","P",23.5435333333333,"4.7359194812975597E-2",20.8987,8618931.51364743,2677184.93675988,1338592.46837994,1,3002177,1501088
"12","Ba","mm","234","DdM","160113","W","0","NA","M",15.6526666666667,"4.6030895421806897E-2",20.9935,8111746.23406042,775100118.555043,387550059.277522,1,923537954,461768977
"13","Ba","mm","551","DdM","170215","W","0","NA","M",16.96055,"5.8619152160363799E-2",20.9157,8525702.57952471,302930579.429124,151465289.714562,1,343418936,171709468
"14","Ba","mm","146","DdM","150915","F","0","NA","PLO",25.7295,"5.2547787774558402E-2",19.8945426940918,16385014.1868902,556841.812048228,278420.906024114,1,328470,164235
"15","Ba","mm","283","DdM","160314","W","1","NA","M",27.4052666666667,"0.114649785579099",21.2931,6696902.73387885,167089.893908252,83544.9469541262,1,241150,120575
"16","Ba","mm","417","DdM","160914","F","0","NA","M",18.6506,"0.12972598043568601",21.3125,6614300.58795576,89971622.2636072,44985811.1318036,1,131471895,65735948
"17","Ba","mm","101","DdM","150817","F","0","NA","PLO",19.2942,"0.12098599092456901",21.4673333333333,5990530.62029205,56666247.250079,28333123.6250395,1,91426156,45713078
"18","Ba","mm","508","DdM","170117","W","0","NA","M",14.9426,"1.00409162928494E-2",20.67305,9957438.88713259,1290845365.5977,645422682.798852,1,1252961916,626480958
"19","Ba","mm","598","DdM","170420","F","1","NA","M",26.884,"2.1496046148071199E-2",19.7655666666667,17794316.307174,242978.296629178,121489.148314589,1,131977,65988
"20","Ba","mm","235","DdM","160113","W","1","NA","M",20.0121,"7.8842628063758205E-2",20.7674333333333,9373986.88673945,33834853.8318466,16917426.9159233,1,34886007,17443003
"21","Ba","mm","147","DdM","151014","F","0","NA","L",25.81945,"2.8920667350530199E-2",20.6422,10155912.7745537,522000.028736859,261000.014368429,1,496779,248389
"22","Ba","mm","190","DdM","151112","F","1","NA","L",24.4133,"2.6565391019144902E-2",20.42025,11705370.921295,1433313.00113293,716656.500566465,1,1183497,591748
"23","Ba","mm","418","DdM","160914","F","0","NA","M",28.8704333333333,"0.44815281247955302",21.3756333333333,6352476.50582543,58326.8465081464,29163.4232540732,1,88744,44372
"24","Ba","mm","462","DdM","161116","W","1","NA","M",15.3511,"2.2385933083076601E-2",22.2105,3723789.3418728,962578700.609577,481289350.304789,1,2498402717,1249201359
"25","Ba","mm","102","DdM","150817","F","0","NA","PLO",19.69905,"4.3769909755448297E-2",20.9076333333333,8569814.22305746,42366750.4446545,21183375.2223272,1,47782080,23891040
"26","Ba","mm","509","DdM","170117","W","1","NA","M",14.35105,"0.17288760800011099",19.8958,16371840.0861769,1974319824.08595,987159912.042973,1,1165551084,582775542
"27","Ba","mm","553","DdM","170215","W","0","NA","M",14.0874666666667,"0.100606080001824",20.9083,8566159.99715149,2385868234.05928,1192934117.02964,1,2691978417,1345989208
"28","Ba","mm","236","DdM","160113","W","1","NA","M",14.7250333333333,"2.91433239925252E-2",20.5721333333333,10621507.6952081,1509202613.94462,754601306.972311,1,1373322961,686661480
"29","Ba","mm","148","DdM","151014","F","1","NA","L",25.14195,"0.10868231226837299",20.5750333333333,10601820.2566401,849233.782008107,424616.891004053,1,774209,387104
"31","Ba","mm","463","DdM","161116","W","0","NA","M",16.6601333333333,"3.6261044294578597E-2",22.9506,2319300.14060153,375891754.625359,187945877.31268,1,1566452195,783226097
"32","Ba","mm","329","DdM","160517","F","1","NA","P",20.6973333333333,"3.82671312399206E-2",20.7325666666667,9585430.84314984,20682119.1278768,10341059.5639384,1,20854256,10427128
"33","Ba","mm","103","DdM","150817","F","0","NA","PLO",19.3344,"9.5022997216463206E-2",20.7255,9628863.47662546,55053309.6535983,27526654.8267991,1,55261123,27630561
"34","Ba","mm","51","DdM","150609","F","1","NA","PLO",31.7981,"7.5801846943199594E-2",20.7264887491862,9622774.67713686,0,0,0,0,0
"35","Ba","mm","286","DdM","160314","W","1","NA","M",13.98715,"6.6680169465891795E-2",20.727,9619627.86249913,2564140451.43597,1282070225.71798,1,2576290541,1288145270
"36","Ba","mm","237","DdM","160113","W","1","NA","M",17.3666666666667,"6.8821023919539296E-3",20.4274,11651950.6386042,226281298.083005,113140649.041502,1,187698726,93849363
"37","Ba","mm","149","DdM","151014","F","1","NA","L",24.7591,"8.1741543905165304E-2",20.9803,8180537.16136061,1118055.37778119,559027.688890597,1,1320970,660485
"38","Ba","mm","464","DdM","161116","W","1","NA","M",17.0959333333333,"6.5414855601256497E-2",21.3214333333333,6576607.22381734,274857862.365379,137428931.18269,1,403940650,201970325
"39","Ba","mm","33","DdM","150513","F","1","NA","PLO",17.3341,"6.22919738008018E-2",20.5985,10443846.9156135,231637219.477944,115818609.738972,1,214367600,107183800
"40","Ba","mm","118","DdM","150817","F","0","NA","PLO",19.9639666666667,"0.129627941946685",21.6485333333333,5334834.93462177,35025169.9913475,17512584.9956737,1,63455689,31727845
"41","Ba","mm","104","DdM","150817","F","0","NA","PLO",20.0974333333333,"0.13275301628713801",20.8886,8674802.52025515,31823155.0623571,15911577.5311785,1,35456425,17728212
"42","Ba","mm","287","DdM","160314","W","0","NA","M",17.1077,"0.162015925143178",21.2145,7042260.47146892,272544466.311658,136272233.155829,1,374055965,187027983
"43","Ba","mm","193","DdM","151112","F","1","NA","L",21.2516666666667,"0.11560036043773",20.8948333333333,8640278.43659301,13888715.1517757,6944357.57588785,1,15536230,7768115
"44","Ba","mm","238","DdM","160113","W","1","NA","M",22.3628333333333,"0.14236559743608501",20.9039,8590306.7145463,6251960.53587964,3125980.26793982,1,7034267,3517134
"45","Ba","mm","15","DdM","150411","F","1","NA","PLO",23.6841,"7.63585620608455E-2",20.9977666666667,8089634.72734698,2420061.48392711,1210030.74196356,1,2891404,1445702
"46","Ba","mm","330","DdM","160517","F","0","NA","P",26.1352666666667,"0.104502838876909",20.5533666666667,10749797.1086646,416051.001669156,208025.500834578,1,374074,187037
"47","Ba","mm","254","DdM","160217","W","0","NA","M",16.3213,"6.0270971453925799E-2",21.2906163533529,6707551.92752597,479476320.548873,239738160.274437,1,690898772,345449386
"48","Ba","mm","556","DdM","170316","F","0","NA","M",26.72565,"0.39110076067427701",20.5012,11114608.43397,272249.596953079,136124.798476539,1,236747,118373
